species,x1,y1,x2,y2,x3,y3,x4,y4
Paretroplus_lamenabe,-0.617437768,-0.099678323,-0.143984728,-0.033353934,0.165278564,0.382311737,0.596143932,-0.24927948
Paretroplus_tsimoly,-0.595267041,-0.084432197,-0.158101739,-0.034363935,0.131570898,0.384570937,0.621797881,-0.265774805
Paretroplus_nourissati,-0.604583757,-0.101323203,-0.154151404,-0.042026612,0.167170094,0.401856765,0.591565068,-0.258506949
Paretroplus_damii_Anjingo,-0.614160208,-0.090933298,-0.149503234,-0.028279001,0.15096474,0.367873974,0.612698703,-0.248661675
Paretroplus_damii,-0.605584402,-0.087703421,-0.165894664,-0.029303715,0.151535944,0.364771391,0.619943122,-0.247764255
Paretroplus_loisellei,-0.609655181,-0.086251946,-0.140863722,-0.02902398,0.132273375,0.37504411,0.618245528,-0.259768184
Paretroplus_kieneri,-0.618694863,-0.090263527,-0.163928679,-0.022789187,0.164288369,0.346013146,0.618335173,-0.232960432
Paretroplus_gymnopreopercularis,-0.608188931,-0.092973236,-0.155850049,-0.0329008,0.155390455,0.377852113,0.608648525,-0.251978077
Paretroplus_polyactis,-0.630957748,-0.094337792,-0.159705665,-0.017782868,0.177129104,0.333114176,0.613534309,-0.220993516
Paretroplus_maromandia,-0.636477649,-0.083523141,-0.168199035,-0.005487195,0.168082432,0.296025915,0.636594252,-0.207015579
Paretroplus_menarambo,-0.626291819,-0.078861804,-0.181624355,-0.007536904,0.162938518,0.296355392,0.644977655,-0.209956685
Paretroplus_maculatus,-0.62922954,-0.080271583,-0.16188098,-0.0086356,0.151757043,0.309034547,0.639353476,-0.220127365
Paretroplus_dambabe,-0.617623884,-0.082313232,-0.179879258,-0.01556213,0.161317585,0.320322719,0.636185557,-0.222447357
Ptychochromoides_itasy,-0.663542044,-0.137646849,-0.182596185,-0.022079331,0.296968784,0.329027183,0.549169445,-0.169301004
Ptychochromoides_betsileanus,-0.654489203,-0.134587964,-0.161867356,-0.028530728,0.268414174,0.357754359,0.547942386,-0.194635666
Ptychochromoides_vondrozo,-0.654095488,-0.125818031,-0.131342958,-0.026254265,0.227819915,0.367360261,0.557618531,-0.215287965
Oxylapia_polli,-0.592420048,-0.103576426,-0.147046084,-0.052301019,0.156652553,0.434816297,0.58281358,-0.278938852
Katria_katria,-0.667340343,-0.126955382,-0.145806143,-0.014858307,0.249823696,0.330828079,0.56332279,-0.18901439
Ptychochromis_makira,-0.627542982,-0.113230136,-0.14936761,-0.035340406,0.201558794,0.382975223,0.575351798,-0.23440468
Ptychochromis_new_sp,-0.643100746,-0.122245389,-0.14478963,-0.030209352,0.224525713,0.371728589,0.563364663,-0.219273847
Ptychochromis_grandidieri,-0.631826538,-0.102602,-0.134204729,-0.026443935,0.172898041,0.367455572,0.593133226,-0.238409637
Ptychochromis_inornatus,-0.654026284,-0.1194968,-0.114932038,-0.024218461,0.20345002,0.36970179,0.565508303,-0.225986529
Ptychochromis_insolitus,-0.672475532,-0.124656459,-0.10143204,-0.014713719,0.213802036,0.352451055,0.560105535,-0.213080876
Ptychochromis_oligacanthus,-0.652144377,-0.108044098,-0.141385387,-0.014598676,0.202378266,0.331385726,0.591151497,-0.208742952
Ptychochromis_loisellei,-0.627241105,-0.090108141,-0.133955668,-0.021055323,0.146732854,0.354080183,0.614463919,-0.242916719
Paratilapia_polleni,-0.715742851,-0.155287657,-0.118775614,0.00667068,0.306488749,0.300320788,0.528029716,-0.151703811