PC1,PC2,x1,y1,x2,y2,x3,y3,x4,y4,MKT
0.2,-0.1,-0.7179072,-0.10120005,-0.1545331,0.024140054,0.3203141,0.226215,0.5521262,-0.149155,1.1841827
0.175,-0.1,-0.7095103,-0.09503703,-0.1568339,0.022389225,0.3048751,0.2316,0.5614691,-0.1589522,1.1689076
0.15,-0.1,-0.7010117,-0.08881349,-0.1591479,0.020603985,0.2892684,0.2370884,0.5708913,-0.1688789,1.151067
0.125,-0.1,-0.692425,-0.08253966,-0.1614712,0.018786868,0.2735192,0.2426723,0.580377,-0.1789195,1.1310056
0.1,-0.1,-0.6837643,-0.07622628,-0.1637996,0.016940633,0.2576542,0.2483433,0.5899097,-0.1890577,1.1090349
0.075,-0.1,-0.6750448,-0.06988448,-0.1661288,0.015068243,0.2417011,0.2540921,0.5994725,-0.1992759,1.0854365
0.05,-0.1,-0.6662818,-0.06352574,-0.1684545,0.013172864,0.2256886,0.2599091,0.6090477,-0.2095562,1.0604613
0.025,-0.1,-0.6574914,-0.05716175,-0.1707722,0.011257794,0.2096458,0.265784,0.6186178,-0.2198801,1.0343359
0,-0.1,-0.6486897,-0.05080431,-0.1730777,0.009326499,0.1936025,0.2717063,0.6281649,-0.2302285,1.0072608
-0.025,-0.1,-0.639893,-0.04446524,-0.1753667,0.007382534,0.1775885,0.2776651,0.6376712,-0.2405823,0.9794168
-0.05,-0.1,-0.6311176,-0.03815623,-0.1776349,0.005429518,0.1616333,0.2836491,0.6471192,-0.2509224,0.9509671
-0.075,-0.1,-0.6223797,-0.03188881,-0.1798783,0.003471124,0.1457662,0.2896473,0.6564918,-0.2612296,0.922057
-0.1,-0.1,-0.613695,-0.02567414,-0.1820929,0.001510999,0.1300156,0.2956484,0.6657722,-0.2714853,0.8928182
0.2,-0.075,-0.7157227,-0.10543451,-0.1490665,0.018262425,0.3242042,0.2433905,0.540585,-0.1562184,1.1375588
0.175,-0.075,-0.7072922,-0.09928692,-0.1513495,0.01648416,0.308757,0.2488801,0.5498847,-0.1660773,1.1252778
0.15,-0.075,-0.6987605,-0.09307621,-0.1536489,0.014674597,0.2931389,0.2544643,0.5592705,-0.1760627,1.1105007
0.125,-0.075,-0.6901414,-0.08681257,-0.1559607,0.012836376,0.2773755,0.2601348,0.5687267,-0.1861586,1.0935037
0.1,-0.075,-0.6814493,-0.08050671,-0.158281,0.010972386,0.2614933,0.2658827,0.578237,-0.1963484,1.0745474
0.075,-0.075,-0.6726992,-0.07416976,-0.1606053,0.009085693,0.2455202,0.2716985,0.5877844,-0.2066145,1.0538767
0.05,-0.075,-0.6639069,-0.0678132,-0.1629295,0.00717954,0.2294849,0.2775723,0.5973515,-0.2169386,1.0317176
0.025,-0.075,-0.6550884,-0.06144874,-0.1652492,0.005257314,0.213417,0.2834935,0.6069206,-0.227302,1.0082793
0,-0.075,-0.6462599,-0.05508822,-0.16756,0.003322508,0.1973462,0.2894513,0.6164738,-0.2376856,0.9837546
-0.025,-0.075,-0.637438,-0.04874351,-0.1698577,0.001378711,0.1813024,0.2954348,0.6259933,-0.24807,0.9583198
-0.05,-0.075,-0.6286391,-0.04242638,-0.1721379,-0.000570446,0.1653155,0.3014327,0.6354614,-0.2584359,0.9321374
-0.075,-0.075,-0.6198793,-0.03614841,-0.1743965,-0.002521311,0.1494149,0.3074338,0.6448609,-0.2687641,0.9053551
-0.1,-0.075,-0.6111745,-0.02992088,-0.1766296,-0.004470246,0.1336292,0.313427,0.6541749,-0.2790359,0.8781081
0.2,-0.05,-0.7135042,-0.1096744,-0.1435913,0.012334634,0.3280958,0.2606719,0.5289997,-0.1633321,1.1043371
0.175,-0.05,-0.7050446,-0.10354602,-0.145855,0.010529492,0.3126494,0.2662641,0.5382502,-0.1732475,1.093899
0.15,-0.05,-0.6964847,-0.09735201,-0.1481381,0.008696236,0.2970295,0.2719418,0.5475934,-0.1832861,1.0810835
0.125,-0.05,-0.6878382,-0.09110251,-0.150437,0.006837662,0.2812613,0.2776964,0.5570139,-0.1934316,1.0661152
0.1,-0.05,-0.6791197,-0.08480816,-0.1527475,0.004956748,0.2653717,0.2835186,0.5664954,-0.2036672,1.049214
0.075,-0.05,-0.6703443,-0.07848007,-0.1550655,0.003056668,0.2493885,0.2893986,0.5760213,-0.2139752,1.0305907
0.05,-0.05,-0.6615279,-0.0721297,-0.1573867,0.001140745,0.2333406,0.295326,0.585574,-0.224337,1.0104468
0.025,-0.05,-0.6526866,-0.06576876,-0.1597069,-0.000787577,0.2172575,0.3012901,0.595136,-0.2347337,0.9889717
0,-0.05,-0.6438368,-0.05940913,-0.1620216,-0.002724738,0.2011691,0.30728,0.6046894,-0.2451461,0.9663447
-0.025,-0.05,-0.6349951,-0.05306267,-0.1643266,-0.004667154,0.1851054,0.3132845,0.6142162,-0.2555547,0.9427324
-0.05,-0.05,-0.6261779,-0.04674122,-0.1666175,-0.00661118,0.1690965,0.3192925,0.6236988,-0.2659401,0.9182906
-0.075,-0.05,-0.6174015,-0.04045642,-0.1688901,-0.008553184,0.1531718,0.3252926,0.6331198,-0.276283,0.8931641
-0.1,-0.05,-0.608682,-0.03421961,-0.1711405,-0.010489578,0.1373603,0.3312738,0.6424622,-0.2865647,0.8674865
0.2,-0.025,-0.7112552,-0.11391204,-0.1381173,0.006367021,0.3319816,0.2780287,0.517391,-0.1704836,1.0805952
0.175,-0.025,-0.7027714,-0.1078066,-0.1403602,0.004535706,0.3165453,0.2837211,0.5265863,-0.1804502,1.0713495
0.15,-0.025,-0.6941882,-0.10163311,-0.1426256,0.002679547,0.3009329,0.2894898,0.535881,-0.1905362,1.0598489
0.125,-0.025,-0.6855194,-0.09540163,-0.14491,0.000801463,0.2851697,0.2953257,0.5452596,-0.2007256,1.0462808
0.1,-0.025,-0.6767797,-0.08912275,-0.1472093,-0.001095441,0.2692826,0.3012192,0.5547064,-0.211001,1.030833
0.075,-0.025,-0.6679844,-0.08280752,-0.1495194,-0.003007912,0.2532993,0.30716,0.5642045,-0.2213446,1.0136903
0.05,-0.025,-0.6591493,-0.07646736,-0.1518362,-0.004932544,0.2372488,0.3131376,0.5737367,-0.2317377,0.9950307
0.025,-0.025,-0.6502906,-0.07011397,-0.1541554,-0.006865836,0.2211605,0.3191412,0.5832855,-0.2421614,0.9750266
0,-0.025,-0.641425,-0.06375919,-0.1564726,-0.008804201,0.2050646,0.3251595,0.592833,-0.2525962,0.953843
-0.025,-0.025,-0.6325689,-0.05741494,-0.1587835,-0.010744012,0.188991,0.3311814,0.6023614,-0.2630225,0.931636
-0.05,-0.025,-0.6237389,-0.05109305,-0.1610838,-0.012681651,0.1729699,0.3371956,0.6118527,-0.2734209,0.9085531
-0.075,-0.025,-0.6149513,-0.04480519,-0.1633691,-0.014613513,0.1570308,0.3431908,0.6212896,-0.2837721,0.884734
-0.1,-0.025,-0.6062222,-0.03856277,-0.1656355,-0.016536047,0.1412028,0.3491562,0.6306549,-0.2940574,0.8603081
0.2,0,-0.7089798,-0.11813975,-0.1326544,0.000370197,0.3358544,0.29543,0.5057798,-0.1776604,1.0639681
0.175,0,-0.7004766,-0.11206087,-0.1348751,-0.00148644,0.3204373,0.3012197,0.5149144,-0.1876724,1.055513
0.15,0,-0.691875,-0.10591164,-0.1371215,-0.003364587,0.3048419,0.3070763,0.5241547,-0.1978001,1.0449162
0.125,0,-0.6831891,-0.09970202,-0.1393899,-0.005261204,0.2890934,0.3129903,0.5334856,-0.2080271,1.0323391
0.1,0,-0.6744335,-0.09344251,-0.1416766,-0.007173086,0.2732186,0.3189517,0.5428916,-0.2183361,1.0179435
0.075,0,-0.6656237,-0.0871441,-0.1439775,-0.009096866,0.2572453,0.3249499,0.5523559,-0.228709,1.0018931
0.05,0,-0.6567754,-0.08081815,-0.1462885,-0.011029089,0.2412022,0.3309743,0.5618616,-0.239127,0.9843476
0.025,0,-0.6479049,-0.07447631,-0.1486052,-0.012966197,0.225119,0.3370136,0.5713911,-0.2495711,0.9654645
0,0,-0.6390289,-0.06813039,-0.1509235,-0.014904567,0.2090256,0.3430566,0.5809268,-0.2600217,0.9453951
-0.025,0,-0.630164,-0.0617923,-0.1532389,-0.016840578,0.1929522,0.3490921,0.5904506,-0.2704592,0.9242861
-0.05,0,-0.6213267,-0.05547387,-0.1555471,-0.018770598,0.1769289,0.3551087,0.5999449,-0.2808642,0.9022766
-0.075,0,-0.6125333,-0.04918679,-0.1578438,-0.020691075,0.1609851,0.3610953,0.609392,-0.2912174,0.8794998
-0.1,0,-0.6037999,-0.04294249,-0.160125,-0.022598511,0.14515,0.367041,0.6187748,-0.3015,0.8560804
0.2,0.025,-0.706682,-0.12234987,-0.1272124,-0.005645052,0.3397073,0.3128445,0.4941871,-0.1848496,1.0529122
0.175,0.025,-0.6981642,-0.11630107,-0.1294098,-0.007526012,0.3243185,0.3187282,0.5032556,-0.1949011,1.0449827
0.15,0.025,-0.6895495,-0.11017974,-0.1316359,-0.009425105,0.3087494,0.3246692,0.512436,-0.2050644,1.0350143
0.125,0.025,-0.6808517,-0.10399572,-0.1338871,-0.011339173,0.2930252,0.3306577,0.5217136,-0.2153228,1.0231465
0.1,0.025,-0.6720856,-0.09775942,-0.1361598,-0.013264905,0.2771725,0.3366833,0.5310729,-0.2256589,1.0095226
0.075,0.025,-0.6632666,-0.09148173,-0.1384501,-0.01519886,0.2612191,0.3427352,0.5404976,-0.2360546,0.994288
0.05,0.025,-0.6544107,-0.08517394,-0.1407538,-0.017137499,0.2451936,0.3488025,0.5499708,-0.246491,0.9775888
0.025,0.025,-0.645534,-0.07884762,-0.1430667,-0.019077234,0.2291256,0.3548738,0.5594751,-0.2569489,0.9595683
0,0.025,-0.6366533,-0.07251455,-0.1453845,-0.021014419,0.213045,0.3609377,0.5689928,-0.2674088,0.9403677
-0.025,0.025,-0.627785,-0.06618658,-0.147703,-0.022945423,0.1969818,0.366983,0.5785062,-0.277851,0.920123
-0.05,0.025,-0.6189459,-0.05987554,-0.1500177,-0.024866644,0.1809661,0.3729983,0.5879975,-0.2882561,0.8989672
-0.075,0.025,-0.6101521,-0.0535931,-0.1523244,-0.026774546,0.1650275,0.3789725,0.597449,-0.2986048,0.8770262
-0.1,0.025,-0.6014197,-0.04735071,-0.1546189,-0.028665715,0.149195,0.3848949,0.6068436,-0.3088785,0.8544206
0.2,0.05,-0.7043659,-0.12653484,-0.1218012,-0.011667864,0.3435334,0.3302407,0.4826337,-0.192038,1.0463606
0.175,0.05,-0.6958386,-0.12051951,-0.1239741,-0.013572001,0.3281817,0.3362146,0.4916311,-0.202123,1.0387755
0.15,0.05,-0.6872158,-0.1144296,-0.1261788,-0.015490871,0.3126481,0.3422361,0.5007464,-0.2123156,1.0292411
0.125,0.05,-0.6785115,-0.10827482,-0.1284116,-0.017421202,0.2969578,0.3482951,0.5099653,-0.2225991,1.0178816
0.1,0.05,-0.6697403,-0.10206547,-0.1306691,-0.019359582,0.281137,0.354381,0.5192724,-0.232956,1.0048249
0.075,0.05,-0.6609177,-0.09581232,-0.1329474,-0.021302494,0.2652133,0.3604827,0.5286518,-0.2433679,0.990203
0.05,0.05,-0.6520596,-0.08952657,-0.1352425,-0.023246351,0.2492155,0.3665889,0.5380866,-0.253816,0.9741488
0.025,0.05,-0.6431823,-0.08321971,-0.1375501,-0.025187494,0.2331727,0.3726883,0.5475597,-0.2642811,0.9567957
0,0.05,-0.6343024,-0.07690343,-0.1398662,-0.027122295,0.2171149,0.3787693,0.5570537,-0.2747436,0.938274
-0.025,0.05,-0.6254364,-0.07058953,-0.1421863,-0.029047113,0.201072,0.3848206,0.5665507,-0.2851839,0.9187129
-0.05,0.05,-0.6166008,-0.06428979,-0.1445061,-0.030958374,0.1850739,0.3908309,0.576033,-0.2955827,0.8982374
-0.075,0.05,-0.607812,-0.05801586,-0.1468213,-0.032852594,0.1691502,0.3967892,0.5854831,-0.3059208,0.8769684
-0.1,0.05,-0.5990859,-0.05177919,-0.1491276,-0.034726401,0.1533298,0.402685,0.5948837,-0.3161794,0.8550219
0.2,0.075,-0.7020358,-0.13068729,-0.1164303,-0.017687378,0.3473259,0.3475875,0.4711402,-0.1992129,1.0435435
0.175,0.075,-0.6935041,-0.12470867,-0.1185779,-0.019613433,0.3320201,0.3536472,0.4800618,-0.2093251,1.0361722
0.15,0.075,-0.6848784,-0.11865356,-0.12076,-0.021550791,0.3165312,0.359745,0.4891072,-0.2195407,1.0269311
0.125,0.075,-0.6761727,-0.11253153,-0.1229734,-0.023496097,0.300884,0.3658704,0.4982621,-0.2298427,1.015931
0.1,0.075,-0.6674019,-0.10635276,-0.1252145,-0.025445844,0.2851047,0.3720123,0.5075118,-0.2402137,1.0032889
0.075,0.075,-0.6585812,-0.10012788,-0.1274796,-0.027396443,0.2692206,0.3781595,0.5168402,-0.2506352,0.9891252
0.05,0.075,-0.6497265,-0.09386796,-0.1297648,-0.029344255,0.2532602,0.3843006,0.5262311,-0.2610884,0.9735621
0.025,0.075,-0.6408542,-0.0875844,-0.1320658,-0.031285598,0.2372527,0.390424,0.5356673,-0.271554,0.9567244
0,0.075,-0.6319806,-0.0812888,-0.1343787,-0.033216812,0.2212277,0.3965182,0.5451316,-0.2820126,0.9387336
-0.025,0.075,-0.6231223,-0.07499287,-0.1366989,-0.035134288,0.205215,0.4025718,0.5546063,-0.2924446,0.9197124
-0.05,0.075,-0.6142958,-0.06870832,-0.1390223,-0.037034479,0.1892444,0.4085735,0.5640738,-0.3028307,0.8997791
-0.075,0.075,-0.6055173,-0.06244677,-0.1413445,-0.038913949,0.1733453,0.4145126,0.5735165,-0.3131519,0.8790495
-0.1,0.075,-0.5968026,-0.05621961,-0.1436612,-0.040769414,0.1575466,0.4203785,0.5829172,-0.3233895,0.8576352
0.2,0.1,-0.6996961,-0.13480007,-0.111109,-0.02369287,0.3510786,0.3648541,0.4597266,-0.2063611,1.0438844
0.175,0.1,-0.6911649,-0.12886123,-0.1132305,-0.025639437,0.3358273,0.370995,0.4685682,-0.2164943,1.0366304
0.15,0.1,-0.6825415,-0.12284415,-0.1153893,-0.02759391,0.3203919,0.3771645,0.4775389,-0.2267264,1.0275766
0.125,0.1,-0.6738399,-0.11675826,-0.1175822,-0.029552808,0.3047969,0.3833516,0.4866252,-0.2370405,1.0168241
0.1,0.1,-0.6650747,-0.11061354,-0.1198059,-0.031512566,0.2890684,0.3895451,0.4958122,-0.2474189,1.0044791
0.075,0.1,-0.6562613,-0.10442053,-0.1220566,-0.033469529,0.2732334,0.3957335,0.5050845,-0.2578434,0.9906536
0.05,0.1,-0.6474156,-0.09819014,-0.1243306,-0.035420011,0.2573202,0.4019052,0.514426,-0.2682951,0.9754613
0.025,0.1,-0.6385537,-0.09193365,-0.1266238,-0.037360313,0.2413578,0.4080486,0.5238197,-0.2787547,0.9590181
0,0.1,-0.6296919,-0.08566252,-0.128932,-0.039286771,0.2253754,0.4141521,0.5332486,-0.2892028,0.9414401
-0.025,0.1,-0.6208468,-0.0793884,-0.131251,-0.041195775,0.2094027,0.4202043,0.5426952,-0.2996201,0.9228426
-0.05,0.1,-0.6120348,-0.07312289,-0.1335766,-0.04308384,0.1934693,0.426194,0.552142,-0.3099873,0.9033388
-0.075,0.1,-0.6032718,-0.06687754,-0.1359042,-0.044947579,0.1776045,0.4321105,0.5615715,-0.3202854,0.8830402
-0.1,0.1,-0.5945737,-0.0606637,-0.1382297,-0.04678378,0.1618369,0.4379437,0.5709664,-0.3304962,0.8620539